"2022","city","country","latitude","longitude"
7939,"Simoca","Argentina",-27.2627,-65.3565
7917,"Alvear","Argentina",-29.0968,-56.5504
7902,"Itati","Argentina",-27.2704,-58.2446
7819,"Lamarque","Argentina",-39.423,-65.7021
7779,"Huillapima","Argentina",-28.7253,-65.9787
7732,"Yuto","Argentina",-23.6434,-64.4719
7652,"Nueve de Julio","Argentina",-31.6691,-68.3902
7573,"Nuestra Senora del Rosario de Caa Cati","Argentina",-27.7507,-57.6207
7526,"Villa La Angostura","Argentina",-40.7617,-71.6463
7435,"Hermoso Campo","Argentina",-27.6082,-61.3444
7406,"Justiniano Posse","Argentina",-32.8841,-62.6779
7398,"Concepcion de la Sierra","Argentina",-27.9831,-55.5203
7396,"San Miguel","Argentina",-27.9958,-57.5896
7389,"Rio Primero","Argentina",-31.3333,-63.6167
7303,"Villa de Soto","Argentina",-30.8552,-64.9995
7238,"Sampacho","Argentina",-33.3839,-64.7221
7235,"La Cumbre","Argentina",-30.982,-64.4914
7151,"Realico","Argentina",-35.0366,-64.2447
7137,"Laguna Larga","Argentina",-31.7765,-63.801
7110,"Villa del Totoral","Argentina",-30.8167,-63.7167
7101,"Villa Maria Grande","Argentina",-31.6656,-59.9018
7066,"La Cocha","Argentina",-27.7693,-65.5871
7026,"Malabrigo","Argentina",-29.3464,-59.9696
6990,"Intendente Alvear","Argentina",-35.2338,-63.592
6978,"Sierra Grande","Argentina",-41.606,-65.3557
6962,"Veinticinco de Mayo","Argentina",-37.7741,-67.7164
6928,"Arias","Argentina",-33.6441,-62.4027
6920,"Monte Maiz","Argentina",-33.2046,-62.6008
6914,"Monte Cristo","Argentina",-31.3431,-63.9444
6864,"San Agustin de Valle Fertil","Argentina",-30.6335,-67.4682
6862,"Cruz Alta","Argentina",-33.0089,-61.8075
6857,"Icano","Argentina",-28.9193,-65.3282
6855,"Mina Clavero","Argentina",-31.721,-65.0062
6821,"Avia Terai","Argentina",-26.6853,-60.7292
6813,"General Fernandez Oro","Argentina",-38.953,-67.9249
6788,"Santa Rosa de Rio Primero","Argentina",-31.1523,-63.4019
6771,"San Benito","Argentina",-31.7837,-60.4416
6663,"La Toma","Argentina",-33.0526,-65.6238
6658,"Trancas","Argentina",-26.2314,-65.2809
6652,"Alba Posse","Argentina",-27.5698,-54.6826
6650,"Yacimiento Rio Turbio","Argentina",-51.5732,-72.3508
6650,"Rio Turbio","Argentina",-51.5359,-72.3367
6610,"Los Frentones","Argentina",-26.4077,-61.4137
6565,"Victorica","Argentina",-36.215,-65.4359
6483,"Ingeniero Luis A. Huergo","Argentina",-39.0715,-67.2379
6452,"San Jose","Argentina",-27.7698,-55.7826
6446,"Berrotaran","Argentina",-32.451,-64.3887
6434,"Adelia Maria","Argentina",-33.6315,-64.021
6421,"Los Altos","Argentina",-28.0485,-65.4995
6411,"Salsipuedes","Argentina",-31.1373,-64.2959
6401,"Fray Luis Beltran","Argentina",-39.3137,-65.76
6395,"Trevelin","Argentina",-43.0858,-71.4639
6394,"Senillosa","Argentina",-39.0141,-68.4328
6358,"Capayan","Argentina",-28.7744,-66.0475
6315,"Gobernador Roca","Argentina",-27.1864,-55.4643
6208,"Rada Tilly","Argentina",-45.9246,-67.5542
6200,"Larroque","Argentina",-33.0359,-59.0013
6143,"Puerto Libertad","Argentina",-25.9196,-54.5823
6143,"Puerto San Julian","Argentina",-49.307,-67.7298
